[01:25:25] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer]: Saving and pausing game...inecraftFormatting
[01:25:25] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Saving chunks for level 'New World'/overworldinecraftFormatting
[01:25:26] [Client thread/INFO] [net.minecraft.client.Minecraft]: Stopping!inecraftFormatting
[01:25:26] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Stopping serverinecraftFormatting
[01:25:26] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Saving playersinecraftFormatting
[01:25:26] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Saving worldsinecraftFormatting
[01:25:26] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Saving chunks for level 'New World'/overworldinecraftFormatting
[01:25:26] [Server thread/INFO] [FML]: Unloading dimension 0inecraftFormatting
[01:25:26] [Server thread/INFO] [FML]: Applying holder lookupsinecraftFormatting
[01:25:26] [Server thread/INFO] [FML]: Holder lookups appliedinecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -30inecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -4452inecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -29inecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -4440inecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -31inecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -4442inecraftFormatting
[01:25:26] [Server thread/INFO] [Galacticraft]: Unregistered Dimension: -28inecraftFormatting
[01:25:26] [Client thread/INFO] [net.minecraft.client.audio.SoundManager]: SoundSystem shutting down...inecraftFormatting
[01:25:26] [Client thread/WARN] [net.minecraft.client.audio.SoundManager]: Author: Paul Lamb, www.paulscode.cominecraftFormatting
